type,1,2,3,4,5,6,7,8,9,10
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.0,0.0,1.0,1.0,4.8088952e-33,0.99999976,7.842771e-32,0.99999976,0.9951831,0.0
attack,2.2813376e-27,1.0,1.0,1.9220734e-37,1.0,1.0,1.0,3.8304593e-27,0.0,1.2626983e-20
normal,0.0,3.592021e-34,0.0,0.0,0.0,0.0,0.0,0.0,4.283647e-35,0.0
normal,1.8806409e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,0.0,1.6424079e-28,0.0,0.0,0.0,1.5220656e-27,0.0
normal,5.2163106e-38,1.9555547e-29,1.9141456e-33,2.1522987e-38,2.224493e-32,0.982632,0.0,8.093298e-14,1.823336e-34,0.0
normal,0.0,1.4533546e-38,0.0,0.0,1.658969e-35,1.299596e-32,2.4401048e-36,0.0,5.442824e-37,0.0
normal,0.0,1.7772019e-20,6.76084e-13,0.0,0.0,0.0,0.0,3.2691578e-37,0.0,0.0
attack,0.0,0.26914448,3.9684073e-37,0.18592277,3.5908836e-06,5.0339328e-26,7.152063e-07,8.070493e-38,3.358167e-30,0.01957205
attack,0.0,3.405942e-29,0.0,1.0,1.0,1.0,1.0,1.10902815e-32,1.0,0.0
attack,0.0,1.0,0.0,1.0,2.0176965e-06,0.0,1.0,1.0,1.0,1.1607194e-06
attack,0.0,0.0,0.0,0.0,1.0,1.8171479e-28,1.0,1.0,1.0,1.0
attack,0.0,1.0,2.6629057e-26,1.0,5.7696536e-17,1.0,1.9143677e-15,1.0,1.0,2.787832e-31
attack,9.028324e-38,1.0,0.0,0.0,3.9068658e-38,0.0,0.00023320317,1.0,0.99999976,1.0
attack,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
attack,0.0,1.0,0.66994476,0.0,3.848634e-28,0.15435821,0.0,0.9999982,0.0,0.9999825
attack,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.5033613e-20,0.0,1.0
attack,2.3062871e-32,0.0001140202,0.9991319,1.0,1.0,1.0,1.0523266e-28,0.0044731796,1.0,1.0
normal,0.0,2.5294253e-07,1.1506444e-33,0.0,1.8130964e-14,0.0,3.750593e-07,4.9337535e-37,6.747692e-34,2.9784414e-30
attack,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,9.593704e-25,1.0
attack,0.0,1.0092348e-17,4.5062793e-27,1.0,1.0,0.0,1.5624939e-19,1.0,1.0,1.0
normal,2.8021382e-25,2.0398704e-31,0.0,0.0,2.2661814e-15,0.0,0.0,0.0,1.8243296e-28,0.0
normal,0.0,0.995219,1.3681831e-16,2.992657e-06,9.7197764e-05,2.1148969e-08,4.393454e-34,3.989896e-17,9.2181814e-08,1.705771e-27
normal,2.9463608e-29,0.0,0.65927947,0.0,1.4087732e-24,4.357534e-27,5.3696526e-30,0.9991624,5.305853e-25,1.6605739e-24
normal,0.0,0.0,9.007413e-22,0.0,5.843997e-38,2.005459e-23,0.0,2.179246e-25,0.0,2.261311e-15
attack,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.369673e-25,8.283707e-33
attack,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
attack,0.0,1.2242192e-33,1.0,1.0,2.2422108e-27,1.0,0.0,1.0,9.865396e-35,1.0
normal,0.0,3.6811658e-09,0.0,2.1934885e-35,0.0,0.0,1.8568717e-29,0.0,5.9865776e-12,2.0339739e-30
attack,1.6552087e-34,0.0,1.0,0.0,1.0,2.0137358e-18,0.0,1.0,1.0,1.0
attack,0.0,1.0,0.9662553,5.9082167e-23,1.3892448e-26,0.94312286,1.0,6.7493465e-17,0.9998535,1.0
attack,0.0,3.3920286e-37,1.0,1.0,2.3512823e-31,1.0,1.0,1.0,0.0,0.0
attack,0.0,1.0,1.5560098e-20,0.0,1.0,1.0,1.0,0.0,0.0,1.0
attack,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
normal,3.0960857e-22,5.3617382e-20,0.0,0.0,1.1655702e-36,0.0,1.3241326e-38,0.0,0.0,0.0
normal,0.0,5.3928615e-18,2.677975e-09,1.5130267e-15,2.9819566e-21,1.7748885e-16,1.792981e-26,3.7401308e-11,2.7672077e-20,7.699871e-13
normal,0.0,0.0,0.0,0.0,2.0445093e-35,0.0,0.0,0.0,1.365093e-29,8.669386e-37
normal,0.0,0.0,4.5588295e-32,0.0,9.899883e-29,0.0,0.0,3.8927331e-38,2.711808e-38,0.0
attack,0.0,0.0,0.99999964,1.0,1.0,0.0,1.0,0.0,0.0,0.99139726
attack,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.6457294e-07,1.0
